station_id,station_code,station_name,sample_date,DOC,Color,NH4-N,NO3-N,TRP,POC,SPM,SiO2,Si,TOC,TOTN_EF_usikker,TOTN,TDP,PP,TOTP,TSM,UV_Abs_254nm,UV_Abs_410nm
40356,GLO1,"Glomma, Sarpsfossen",1990-01-10 00:00:00,3.12,,,365.0,6.0,,,,,3.27,,564.0,,,11.0,3.5,,
40356,GLO1,"Glomma, Sarpsfossen",1990-02-12 00:00:00,3.12,,,505.0,55.0,,,,,3.27,,774.0,,,100.0,100.8,,
40356,GLO1,"Glomma, Sarpsfossen",1990-03-14 00:00:00,3.12,,,435.0,20.0,,,,,3.27,,680.0,,,35.0,26.8,,
40356,GLO1,"Glomma, Sarpsfossen",1990-04-04 00:00:00,3.81,,,440.0,16.0,,,,,3.88,,654.0,,,27.0,15.3,,
40356,GLO1,"Glomma, Sarpsfossen",1990-04-26 00:00:00,5.62,,,375.0,5.5,,,,,5.64,,566.0,,,15.0,7.1,,
40356,GLO1,"Glomma, Sarpsfossen",1990-05-08 00:00:00,4.39,,,173.0,7.0,,,,,4.77,,347.0,,,15.0,10.0,,
40356,GLO1,"Glomma, Sarpsfossen",1990-05-25 00:00:00,2.81,,,230.0,1.5,,,,,2.94,,363.0,,,10.0,2.3,,
40356,GLO1,"Glomma, Sarpsfossen",1990-06-07 00:00:00,2.6,,,215.0,2.0,,,,,2.75,,365.0,,,8.0,3.6,,
40356,GLO1,"Glomma, Sarpsfossen",1990-06-19 00:00:00,2.25,,,235.0,2.0,,,,,2.62,,383.0,,,11.0,3.1,,
40356,GLO1,"Glomma, Sarpsfossen",1990-07-04 00:00:00,2.89,,,290.0,2.0,,,,,3.13,,426.0,,,10.0,4.1,,
40356,GLO1,"Glomma, Sarpsfossen",1990-07-19 00:00:00,3.82,,,198.0,2.0,,,,,3.82,,461.0,,,12.0,5.8,,
40356,GLO1,"Glomma, Sarpsfossen",1990-08-15 00:00:00,2.63,,,220.0,1.0,,,,,2.69,,329.0,,,6.0,1.4,,
40356,GLO1,"Glomma, Sarpsfossen",1990-09-07 00:00:00,2.68,,,190.0,2.0,,,,,2.68,,321.0,,,7.0,2.5,,
40356,GLO1,"Glomma, Sarpsfossen",1990-10-16 00:00:00,0.9,,,295.0,2.0,,,,,0.9,,431.0,,,7.0,1.4,,
40356,GLO1,"Glomma, Sarpsfossen",1990-11-13 00:00:00,2.82,,,330.0,2.0,,,,,2.82,,471.0,,,7.0,2.3,,
40356,GLO1,"Glomma, Sarpsfossen",1990-12-12 00:00:00,3.36,,,325.0,1.0,,,,,3.89,,483.0,,,7.0,1.4,,
40356,GLO1,"Glomma, Sarpsfossen",1991-01-07 00:00:00,3.74,,,930.0,25.0,,,,,3.8,,1200.0,,,42.0,24.8,,
40356,GLO1,"Glomma, Sarpsfossen",1991-01-23 00:00:00,2.8,,,575.0,14.0,,,,,2.82,,782.0,,,16.0,5.84,,
40356,GLO1,"Glomma, Sarpsfossen",1991-02-07 00:00:00,2.59,,,365.0,3.0,,,,,2.65,,539.0,,,7.0,1.5,,
40356,GLO1,"Glomma, Sarpsfossen",1991-02-19 00:00:00,2.61,,,345.0,2.0,,,,,2.63,,495.0,,,5.0,0.91,,
40356,GLO1,"Glomma, Sarpsfossen",1991-03-04 00:00:00,2.88,,,325.0,2.0,,,,,2.89,,497.0,,,8.0,2.1,,
40356,GLO1,"Glomma, Sarpsfossen",1991-03-20 00:00:00,3.94,,,650.0,61.0,,,,,4.19,,1095.0,,,171.0,23.3,,
40356,GLO1,"Glomma, Sarpsfossen",1991-04-09 00:00:00,3.49,,,585.0,20.0,,,,,3.52,,896.0,,,38.0,8.34,,
40356,GLO1,"Glomma, Sarpsfossen",1991-04-23 00:00:00,5.99,,,340.0,8.0,,,,,6.08,,563.0,,,17.0,7.22,,
40356,GLO1,"Glomma, Sarpsfossen",1991-05-14 00:00:00,5.02,,,320.0,3.0,,,,,5.02,,528.0,,,12.0,4.06,,
40356,GLO1,"Glomma, Sarpsfossen",1991-06-05 00:00:00,3.27,,,186.0,2.0,,,,,3.35,,336.0,,,9.0,3.28,,
40356,GLO1,"Glomma, Sarpsfossen",1991-06-19 00:00:00,2.36,,,186.0,2.0,,,,,2.36,,330.0,,,9.0,2.98,,
40356,GLO1,"Glomma, Sarpsfossen",1991-07-02 00:00:00,5.19,,,250.0,4.0,,,,,5.25,,459.0,,,13.0,6.07,,
40356,GLO1,"Glomma, Sarpsfossen",1991-07-17 00:00:00,3.12,,,240.0,3.0,,,,,3.32,,396.0,,,11.0,5.78,,
40356,GLO1,"Glomma, Sarpsfossen",1991-08-14 00:00:00,2.71,,,235.0,2.0,,,,,2.71,,381.0,,,10.0,3.48,,
40356,GLO1,"Glomma, Sarpsfossen",1991-09-12 00:00:00,2.3,,,165.0,2.0,,,,,2.51,,378.0,,,7.0,2.36,,
40356,GLO1,"Glomma, Sarpsfossen",1991-10-16 00:00:00,2.84,,,380.0,3.0,,,,,2.97,,522.0,,,9.0,3.42,,
40356,GLO1,"Glomma, Sarpsfossen",1991-11-11 00:00:00,4.99,,,540.0,15.0,,,,,4.99,,768.0,,,30.0,10.9,,
40356,GLO1,"Glomma, Sarpsfossen",1991-12-12 00:00:00,4.94,,,420.0,6.0,,,,,4.94,,635.0,,,13.0,3.73,,
40356,GLO1,"Glomma, Sarpsfossen",1992-01-16 00:00:00,,,,415.0,4.0,,,,,2.4,,537.0,,,9.0,3.16,,
40356,GLO1,"Glomma, Sarpsfossen",1992-02-05 00:00:00,,,65.0,345.0,4.0,,,,,2.6,,518.0,,,9.0,3.22,,
40356,GLO1,"Glomma, Sarpsfossen",1992-02-20 00:00:00,,,40.0,380.0,3.0,,,,,2.7,,533.0,,,9.0,2.97,,
40356,GLO1,"Glomma, Sarpsfossen",1992-03-04 00:00:00,,,78.0,600.0,13.0,,,,,2.4,,815.0,,,26.0,2.17,,
40356,GLO1,"Glomma, Sarpsfossen",1992-03-23 00:00:00,,,48.0,815.0,22.0,,,,,5.1,,1028.0,,,43.0,21.31,,
40356,GLO1,"Glomma, Sarpsfossen",1992-04-08 00:00:00,,,48.0,535.0,14.0,,,,,4.6,,716.0,,,28.0,17.61,,
40356,GLO1,"Glomma, Sarpsfossen",1992-04-27 00:00:00,,,55.0,725.0,19.0,,,,,5.3,,962.0,,,31.0,17.51,,
40356,GLO1,"Glomma, Sarpsfossen",1992-05-13 00:00:00,,,34.0,355.0,11.0,,,,,8.7,,618.0,,,26.0,12.89,,
40356,GLO1,"Glomma, Sarpsfossen",1992-05-29 00:00:00,,,14.0,305.0,7.0,,,,,6.2,,488.0,,,18.0,11.29,,
40356,GLO1,"Glomma, Sarpsfossen",1992-06-11 00:00:00,2.4,,46.0,225.0,4.0,,,,,3.1,,383.0,,,14.0,5.41,,
40356,GLO1,"Glomma, Sarpsfossen",1992-06-24 00:00:00,,,57.0,210.0,5.0,,,,,2.2,,350.0,,,9.0,2.31,,
40356,GLO1,"Glomma, Sarpsfossen",1992-07-06 00:00:00,,,18.0,155.0,2.0,,,,,2.6,,314.0,,,10.0,3.24,,
40356,GLO1,"Glomma, Sarpsfossen",1992-07-23 00:00:00,,,22.0,205.0,3.0,,,,,2.7,,356.0,,,37.0,4.18,,
40356,GLO1,"Glomma, Sarpsfossen",1992-08-03 00:00:00,,,9.0,195.0,2.0,,,,,2.1,,372.0,,,8.0,3.04,,
40356,GLO1,"Glomma, Sarpsfossen",1992-09-01 00:00:00,,,15.0,240.0,4.0,,,,,4.3,,392.0,,,12.0,4.59,,
40356,GLO1,"Glomma, Sarpsfossen",1992-10-07 00:00:00,,,24.0,240.0,1.0,,,,,4.2,,389.0,,,5.0,1.62,,
