index	time	FA/RAMSES/DERIVED/RRS/CALIBRATED/SHIP_SHADDOW	FA/RAMSES/DERIVED/RRS/CALIBRATED/SUN_GLINT	FA/RAMSES/DERIVED/RRS/CALIBRATED/SUN_HEIGHT	longitude	latitude
0	2023-07-01 00:00:00				11.326452	56.23195
1	2023-07-01 00:00:12	1.0	1.0	-1.0		
2	2023-07-01 00:00:43	1.0	1.0	-1.0		
3	2023-07-01 00:01:00				11.321522	56.227582
4	2023-07-01 00:01:13	1.0	1.0	-1.0		
5	2023-07-01 00:01:43	1.0	1.0	-1.0		
6	2023-07-01 00:02:00				11.316547	56.223165
7	2023-07-01 00:02:13	1.0	1.0	-1.0		
8	2023-07-01 00:02:43	1.0	1.0	-1.0		
9	2023-07-01 00:03:00				11.311587	56.218732
10	2023-07-01 00:03:13	1.0	1.0	-1.0		
11	2023-07-01 00:03:43	1.0	1.0	-1.0		
12	2023-07-01 00:04:00				11.30663	56.214293
13	2023-07-01 00:04:13	1.0	1.0	-1.0		
14	2023-07-01 00:04:43	1.0	1.0	-1.0		
15	2023-07-01 00:05:00				11.301167	56.210022
16	2023-07-01 00:05:13	1.0	1.0	-1.0		
17	2023-07-01 00:05:43	1.0	1.0	-1.0		
18	2023-07-01 00:06:00				11.295342	56.205827
19	2023-07-01 00:06:13	1.0	1.0	-1.0		
20	2023-07-01 00:06:43	1.0	1.0	-1.0		
21	2023-07-01 00:07:00				11.289503	56.201705
22	2023-07-01 00:07:13	1.0	1.0	-1.0		
23	2023-07-01 00:07:44	1.0	1.0	-1.0		
24	2023-07-01 00:08:00				11.283735	56.197622
25	2023-07-01 00:08:14	1.0	1.0	-1.0		
26	2023-07-01 00:08:44	1.0	1.0	-1.0		
27	2023-07-01 00:09:00				11.277953	56.19357
28	2023-07-01 00:09:14	1.0	1.0	-1.0		
29	2023-07-01 00:09:44	1.0	1.0	-1.0		
30	2023-07-01 00:10:00				11.27219	56.189557
31	2023-07-01 00:10:14	1.0	1.0	-1.0		
32	2023-07-01 00:10:44	1.0	1.0	-1.0		
33	2023-07-01 00:11:00				11.26632	56.185518
34	2023-07-01 00:11:14	1.0	1.0	-1.0		
35	2023-07-01 00:11:44	1.0	1.0	-1.0		
36	2023-07-01 00:12:00				11.26006	56.181692
37	2023-07-01 00:12:14	1.0	1.0	-1.0		
38	2023-07-01 00:12:44	1.0	1.0	-1.0		
39	2023-07-01 00:13:00				11.253542	56.177878
40	2023-07-01 00:13:14	1.0	1.0	-1.0		
41	2023-07-01 00:13:44	1.0	1.0	-1.0		
42	2023-07-01 00:14:00				11.246918	56.174075
43	2023-07-01 00:14:14	1.0	1.0	-1.0		
44	2023-07-01 00:14:44	1.0	1.0	-1.0		
45	2023-07-01 00:15:00				11.240252	56.170235
46	2023-07-01 00:15:14	1.0	1.0	-1.0		
47	2023-07-01 00:15:45	1.0	1.0	-1.0		
48	2023-07-01 00:16:00				11.233542	56.16634
49	2023-07-01 00:16:15	1.0	1.0	-1.0		
50	2023-07-01 00:16:45	1.0	1.0	-1.0		
51	2023-07-01 00:17:00				11.226758	56.162417
52	2023-07-01 00:17:15	1.0	1.0	-1.0		
53	2023-07-01 00:17:45	1.0	1.0	-1.0		
54	2023-07-01 00:18:00				11.21992	56.158517
55	2023-07-01 00:18:15	1.0	1.0	-1.0		
56	2023-07-01 00:18:45	1.0	1.0	-1.0		
57	2023-07-01 00:19:00				11.213322	56.154445
58	2023-07-01 00:19:15	1.0	1.0	-1.0		
59	2023-07-01 00:19:45	1.0	1.0	-1.0		
60	2023-07-01 00:20:00				11.207048	56.150192
61	2023-07-01 00:20:15	1.0	1.0	-1.0		
62	2023-07-01 00:20:46	1.0	1.0	-1.0		
63	2023-07-01 00:21:00				11.200812	56.145922
64	2023-07-01 00:21:16	1.0	1.0	-1.0		
65	2023-07-01 00:21:46	1.0	1.0	-1.0		
66	2023-07-01 00:22:00				11.194568	56.14163
67	2023-07-01 00:22:16	1.0	1.0	-1.0		
68	2023-07-01 00:22:46	1.0	1.0	-1.0		
69	2023-07-01 00:23:00				11.188307	56.137325
70	2023-07-01 00:23:16	1.0	1.0	-1.0		
71	2023-07-01 00:23:46	1.0	1.0	-1.0		
72	2023-07-01 00:24:00				11.182035	56.133043
73	2023-07-01 00:24:16	1.0	1.0	-1.0		
74	2023-07-01 00:24:46	1.0	1.0	-1.0		
75	2023-07-01 00:25:00				11.175797	56.128755
76	2023-07-01 00:25:16	1.0	1.0	-1.0		
77	2023-07-01 00:25:46	1.0	1.0	-1.0		
78	2023-07-01 00:26:00				11.169593	56.124445
79	2023-07-01 00:26:16	1.0	1.0	-1.0		
80	2023-07-01 00:26:46	1.0	1.0	-1.0		
81	2023-07-01 00:27:00				11.163343	56.120175
82	2023-07-01 00:27:16	1.0	1.0	-1.0		
83	2023-07-01 00:27:47	1.0	1.0	-1.0		
84	2023-07-01 00:28:00				11.15714	56.115887
85	2023-07-01 00:28:17	1.0	1.0	-1.0		
86	2023-07-01 00:28:47	1.0	1.0	-1.0		
87	2023-07-01 00:29:00				11.15114	56.111533
88	2023-07-01 00:29:17	1.0	1.0	-1.0		
89	2023-07-01 00:29:47	1.0	1.0	-1.0		
90	2023-07-01 00:30:00				11.146143	56.10684
91	2023-07-01 00:30:17	1.0	1.0	-1.0		
92	2023-07-01 00:30:47	1.0	1.0	-1.0		
93	2023-07-01 00:31:00				11.141902	56.102002
94	2023-07-01 00:31:17	1.0	1.0	-1.0		
95	2023-07-01 00:31:47	1.0	1.0	-1.0		
96	2023-07-01 00:32:00				11.137805	56.097103
97	2023-07-01 00:32:17	1.0	1.0	-1.0		
98	2023-07-01 00:32:47	1.0	1.0	-1.0		
99	2023-07-01 00:33:00				11.133707	56.092223
100	2023-07-01 00:33:17	1.0	1.0	-1.0		
101	2023-07-01 00:33:47	1.0	1.0	-1.0		
102	2023-07-01 00:34:00				11.129668	56.087328
103	2023-07-01 00:34:18	1.0	1.0	-1.0		
104	2023-07-01 00:34:48	1.0	1.0	-1.0		
105	2023-07-01 00:35:00				11.12565	56.082453
106	2023-07-01 00:35:18	1.0	1.0	-1.0		
107	2023-07-01 00:35:48	1.0	1.0	-1.0		
108	2023-07-01 00:36:00				11.121607	56.07759
109	2023-07-01 00:36:18	1.0	1.0	-1.0		
110	2023-07-01 00:36:48	1.0	1.0	-1.0		
111	2023-07-01 00:37:00				11.117595	56.072743
112	2023-07-01 00:37:18	1.0	1.0	-1.0		
113	2023-07-01 00:37:48	1.0	1.0	-1.0		
114	2023-07-01 00:38:00				11.113597	56.067895
115	2023-07-01 00:38:18	1.0	1.0	-1.0		
116	2023-07-01 00:38:48	1.0	1.0	-1.0		
117	2023-07-01 00:39:00				11.109562	56.06309
118	2023-07-01 00:39:18	1.0	1.0	-1.0		
119	2023-07-01 00:39:48	1.0	1.0	-1.0		
120	2023-07-01 00:40:00				11.105567	56.05828
121	2023-07-01 00:40:18	1.0	1.0	-1.0		
122	2023-07-01 00:40:48	1.0	1.0	-1.0		
123	2023-07-01 00:41:00				11.101628	56.053453
124	2023-07-01 00:41:19	1.0	1.0	-1.0		
125	2023-07-01 00:41:49	1.0	1.0	-1.0		
126	2023-07-01 00:42:00				11.097692	56.048637
127	2023-07-01 00:42:19	1.0	1.0	-1.0		
128	2023-07-01 00:42:49	1.0	1.0	-1.0		
129	2023-07-01 00:43:00				11.09368	56.043858
130	2023-07-01 00:43:19	1.0	1.0	-1.0		
131	2023-07-01 00:43:49	1.0	1.0	-1.0		
132	2023-07-01 00:44:00				11.089683	56.039083
133	2023-07-01 00:44:19	1.0	1.0	-1.0		
134	2023-07-01 00:44:49	1.0	1.0	-1.0		
135	2023-07-01 00:45:00				11.085163	56.034473
136	2023-07-01 00:45:19	1.0	1.0	-1.0		
137	2023-07-01 00:45:49	1.0	1.0	-1.0		
138	2023-07-01 00:46:00				11.080278	56.02995
139	2023-07-01 00:46:19	1.0	1.0	-1.0		
140	2023-07-01 00:46:49	1.0	1.0	-1.0		
141	2023-07-01 00:47:00				11.075372	56.02541
142	2023-07-01 00:47:20	1.0	1.0	-1.0		
143	2023-07-01 00:47:50	1.0	1.0	-1.0		
144	2023-07-01 00:48:00				11.07043	56.020877
145	2023-07-01 00:48:20	1.0	1.0	-1.0		
146	2023-07-01 00:48:50	1.0	1.0	-1.0		
147	2023-07-01 00:49:00				11.065452	56.016337
148	2023-07-01 00:49:20	1.0	1.0	-1.0		
149	2023-07-01 00:49:50	1.0	1.0	-1.0		
150	2023-07-01 00:50:00				11.060503	56.011763
151	2023-07-01 00:50:20	1.0	1.0	-1.0		
152	2023-07-01 00:50:50	1.0	1.0	-1.0		
153	2023-07-01 00:51:00				11.055537	56.007125
154	2023-07-01 00:51:20	1.0	1.0	-1.0		
155	2023-07-01 00:51:50	1.0	1.0	-1.0		
156	2023-07-01 00:52:00				11.050485	56.00252
157	2023-07-01 00:52:20	1.0	1.0	-1.0		
158	2023-07-01 00:52:50	1.0	1.0	-1.0		
159	2023-07-01 00:53:00				11.045472	55.997882
160	2023-07-01 00:53:20	1.0	1.0	-1.0		
161	2023-07-01 00:53:51	1.0	1.0	-1.0		
162	2023-07-01 00:54:00				11.040485	55.993252
163	2023-07-01 00:54:21	1.0	1.0	-1.0		
164	2023-07-01 00:54:51	1.0	1.0	-1.0		
165	2023-07-01 00:55:00				11.035447	55.98867
166	2023-07-01 00:55:21	1.0	1.0	-1.0		
167	2023-07-01 00:55:51	1.0	1.0	-1.0		
168	2023-07-01 00:56:00				11.030433	55.984098
169	2023-07-01 00:56:21	1.0	1.0	-1.0		
170	2023-07-01 00:56:51	1.0	1.0	-1.0		
171	2023-07-01 00:57:00				11.025403	55.97952
172	2023-07-01 00:57:21	1.0	1.0	-1.0		
173	2023-07-01 00:57:51	1.0	1.0	-1.0		
174	2023-07-01 00:58:00				11.020372	55.974937
175	2023-07-01 00:58:21	1.0	1.0	-1.0		
176	2023-07-01 00:58:51	1.0	1.0	-1.0		
177	2023-07-01 00:59:00				11.015163	55.97042
178	2023-07-01 00:59:22	1.0	1.0	-1.0		
179	2023-07-01 00:59:52	1.0	1.0	-1.0		
180	2023-07-01 01:00:00				11.00992	55.965872
181	2023-07-01 01:00:22	1.0	1.0	-1.0		
182	2023-07-01 01:00:52	1.0	1.0	-1.0		
183	2023-07-01 01:01:00				11.00456	55.96138
184	2023-07-01 01:01:22	1.0	1.0	-1.0		
185	2023-07-01 01:01:52	1.0	1.0	-1.0		
186	2023-07-01 01:02:00				10.998735	55.957065
187	2023-07-01 01:02:22	1.0	1.0	-1.0		
188	2023-07-01 01:02:52	1.0	1.0	-1.0		
189	2023-07-01 01:03:00				10.992915	55.952785
190	2023-07-01 01:03:22	1.0	1.0	-1.0		
191	2023-07-01 01:03:52	1.0	1.0	-1.0		
192	2023-07-01 01:04:00				10.986978	55.9486
193	2023-07-01 01:04:22	1.0	1.0	-1.0		
194	2023-07-01 01:04:52	1.0	1.0	-1.0		
195	2023-07-01 01:05:00				10.981055	55.944453
196	2023-07-01 01:05:23	1.0	1.0	-1.0		
197	2023-07-01 01:05:53	1.0	1.0	-1.0		
198	2023-07-01 01:06:00				10.97523	55.940308
199	2023-07-01 01:06:23	1.0	1.0	-1.0		
200	2023-07-01 01:06:53	1.0	1.0	-1.0		
201	2023-07-01 01:07:00				10.96946	55.936237
202	2023-07-01 01:07:23	1.0	1.0	-1.0		
203	2023-07-01 01:07:53	1.0	1.0	-1.0		
204	2023-07-01 01:08:00				10.963742	55.93211
205	2023-07-01 01:08:23	1.0	1.0	-1.0		
206	2023-07-01 01:08:53	1.0	1.0	-1.0		
207	2023-07-01 01:09:00				10.958	55.927963
208	2023-07-01 01:09:23	1.0	1.0	-1.0		
209	2023-07-01 01:09:53	1.0	1.0	-1.0		
210	2023-07-01 01:10:00				10.952187	55.923743
211	2023-07-01 01:10:23	1.0	1.0	-1.0		
212	2023-07-01 01:10:53	1.0	1.0	-1.0		
213	2023-07-01 01:11:00				10.94614	55.91957
214	2023-07-01 01:11:23	1.0	1.0	-1.0		
215	2023-07-01 01:11:53	1.0	1.0	-1.0		
216	2023-07-01 01:12:00				10.939847	55.91541
217	2023-07-01 01:12:23	1.0	1.0	-1.0		
218	2023-07-01 01:12:53	1.0	1.0	-1.0		
219	2023-07-01 01:13:00				10.933885	55.91115
220	2023-07-01 01:13:24	1.0	1.0	-1.0		
221	2023-07-01 01:13:54	1.0	1.0	-1.0		
222	2023-07-01 01:14:00				10.927928	55.906897
223	2023-07-01 01:14:24	1.0	1.0	-1.0		
224	2023-07-01 01:14:54	1.0	1.0	-1.0		
225	2023-07-01 01:15:00				10.92233	55.90275
226	2023-07-01 01:15:24	1.0	1.0	-1.0		
227	2023-07-01 01:15:54	1.0	1.0	-1.0		
228	2023-07-01 01:16:00				10.916885	55.898593
229	2023-07-01 01:16:24	1.0	1.0	-1.0		
230	2023-07-01 01:16:54	1.0	1.0	-1.0		
231	2023-07-01 01:17:00				10.911523	55.89445
232	2023-07-01 01:17:24	1.0	1.0	-1.0		
233	2023-07-01 01:17:54	1.0	1.0	-1.0		
234	2023-07-01 01:18:00				10.906162	55.890253
235	2023-07-01 01:18:24	1.0	1.0	-1.0		
236	2023-07-01 01:18:54	1.0	1.0	-1.0		
237	2023-07-01 01:19:00				10.900797	55.885922
238	2023-07-01 01:19:24	1.0	1.0	-1.0		
239	2023-07-01 01:19:54	1.0	1.0	-1.0		
240	2023-07-01 01:20:00				10.895195	55.881707
241	2023-07-01 01:20:25	1.0	1.0	-1.0		
242	2023-07-01 01:20:55	1.0	1.0	-1.0		
243	2023-07-01 01:21:00				10.889502	55.877542
244	2023-07-01 01:21:25	1.0	1.0	-1.0		
245	2023-07-01 01:21:55	1.0	1.0	-1.0		
246	2023-07-01 01:22:00				10.883437	55.87344
247	2023-07-01 01:22:25	1.0	1.0	-1.0		
248	2023-07-01 01:22:55	1.0	1.0	-1.0		
249	2023-07-01 01:23:00				10.87712	55.869457
250	2023-07-01 01:23:25	1.0	1.0	-1.0		
251	2023-07-01 01:23:55	1.0	1.0	-1.0		
252	2023-07-01 01:24:00				10.870963	55.865507
253	2023-07-01 01:24:25	1.0	1.0	-1.0		
254	2023-07-01 01:24:55	1.0	1.0	-1.0		
255	2023-07-01 01:25:00				10.864928	55.861587
256	2023-07-01 01:25:25	1.0	1.0	-1.0		
257	2023-07-01 01:25:55	1.0	1.0	-1.0		
258	2023-07-01 01:26:00				10.858868	55.857675
259	2023-07-01 01:26:25	1.0	1.0	-1.0		
260	2023-07-01 01:26:55	1.0	1.0	-1.0		
261	2023-07-01 01:27:00				10.852918	55.853837
262	2023-07-01 01:27:26	1.0	1.0	-1.0		
263	2023-07-01 01:27:56	1.0	1.0	-1.0		
264	2023-07-01 01:28:00				10.846773	55.849965
265	2023-07-01 01:28:26	1.0	1.0	-1.0		
266	2023-07-01 01:28:56	1.0	1.0	-1.0		
267	2023-07-01 01:29:00				10.840548	55.846108
268	2023-07-01 01:29:26	1.0	1.0	-1.0		
269	2023-07-01 01:29:56	1.0	1.0	-1.0		
270	2023-07-01 01:30:00				10.834352	55.842187
271	2023-07-01 01:30:26	1.0	1.0	-1.0		
272	2023-07-01 01:30:56	1.0	1.0	-1.0		
273	2023-07-01 01:31:00				10.82855	55.837942
274	2023-07-01 01:31:26	1.0	1.0	-1.0		
275	2023-07-01 01:31:56	-1.0	1.0	-1.0		
276	2023-07-01 01:32:00				10.823612	55.833335
277	2023-07-01 01:32:26	-1.0	1.0	-1.0		
278	2023-07-01 01:32:56	-1.0	1.0	-1.0		
279	2023-07-01 01:33:00				10.81971	55.828372
280	2023-07-01 01:33:27	-1.0	1.0	-1.0		
281	2023-07-01 01:33:57	-1.0	1.0	-1.0		
282	2023-07-01 01:34:00				10.81693	55.823167
283	2023-07-01 01:34:27	-1.0	1.0	-1.0		
284	2023-07-01 01:34:57	-1.0	1.0	-1.0		
285	2023-07-01 01:35:00				10.815245	55.817793
286	2023-07-01 01:35:27	-1.0	1.0	-1.0		
287	2023-07-01 01:35:57	-1.0	1.0	-1.0		
288	2023-07-01 01:36:00				10.813978	55.812355
289	2023-07-01 01:36:27	-1.0	1.0	-1.0		
290	2023-07-01 01:36:57	-1.0	1.0	-1.0		
291	2023-07-01 01:37:00				10.812838	55.806917
292	2023-07-01 01:37:27	-1.0	1.0	-1.0		
293	2023-07-01 01:37:58	-1.0	1.0	-1.0		
294	2023-07-01 01:38:00				10.811738	55.801463
295	2023-07-01 01:38:28	-1.0	1.0	-1.0		
296	2023-07-01 01:38:58	-1.0	1.0	-1.0		
297	2023-07-01 01:39:00				10.810647	55.79605
298	2023-07-01 01:39:28	-1.0	1.0	-1.0		
299	2023-07-01 01:39:58	-1.0	1.0	-1.0		
300	2023-07-01 01:40:00				10.809602	55.7907
301	2023-07-01 01:40:28	-1.0	1.0	-1.0		
302	2023-07-01 01:40:58	-1.0	1.0	-1.0		
303	2023-07-01 01:41:00				10.808375	55.785345
304	2023-07-01 01:41:28	-1.0	1.0	-1.0		
305	2023-07-01 01:41:58	-1.0	1.0	-1.0		
306	2023-07-01 01:42:00				10.807133	55.779985
307	2023-07-01 01:42:28	-1.0	1.0	-1.0		
308	2023-07-01 01:42:58	-1.0	1.0	-1.0		
309	2023-07-01 01:43:00				10.80582	55.77457
310	2023-07-01 01:43:28	-1.0	1.0	-1.0		
311	2023-07-01 01:43:58	-1.0	1.0	-1.0		
312	2023-07-01 01:44:00				10.804457	55.769155
313	2023-07-01 01:44:28	-1.0	1.0	-1.0		
314	2023-07-01 01:44:58	-1.0	1.0	-1.0		
315	2023-07-01 01:45:00				10.803082	55.763662
316	2023-07-01 01:45:29	-1.0	1.0	-1.0		
317	2023-07-01 01:45:59	-1.0	1.0	-1.0		
318	2023-07-01 01:46:00				10.801665	55.758175
319	2023-07-01 01:46:29	-1.0	1.0	-1.0		
320	2023-07-01 01:46:59	-1.0	1.0	-1.0		
321	2023-07-01 01:47:00				10.800015	55.752697
322	2023-07-01 01:47:29	-1.0	1.0	-1.0		
323	2023-07-01 01:47:59	-1.0	1.0	-1.0		
324	2023-07-01 01:48:00				10.798373	55.747207
325	2023-07-01 01:48:29	-1.0	1.0	-1.0		
326	2023-07-01 01:48:59	-1.0	1.0	-1.0		
327	2023-07-01 01:49:00				10.796718	55.741667
328	2023-07-01 01:49:29	-1.0	1.0	-1.0		
329	2023-07-01 01:49:59	-1.0	1.0	-1.0		
330	2023-07-01 01:50:00				10.795027	55.736123
331	2023-07-01 01:50:29	-1.0	1.0	-1.0		
332	2023-07-01 01:50:59	-1.0	1.0	-1.0		
333	2023-07-01 01:51:00				10.793268	55.73055
334	2023-07-01 01:51:29	-1.0	1.0	-1.0		
335	2023-07-01 01:52:00	-1.0	1.0	-1.0	10.791597	55.724982
336	2023-07-01 01:52:30	-1.0	1.0	-1.0		
337	2023-07-01 01:53:00	-1.0	1.0	-1.0	10.78995	55.719347
338	2023-07-01 01:53:30	-1.0	1.0	-1.0		
339	2023-07-01 01:54:00	-1.0	1.0	-1.0	10.788297	55.713733
340	2023-07-01 01:54:30	-1.0	1.0	-1.0		
341	2023-07-01 01:55:00	-1.0	1.0	-1.0	10.786905	55.708052
342	2023-07-01 01:55:30	-1.0	1.0	-1.0		
343	2023-07-01 01:56:00	-1.0	1.0	-1.0	10.7854	55.702422
344	2023-07-01 01:56:30	-1.0	1.0	-1.0		
345	2023-07-01 01:57:00	-1.0	1.0	-1.0	10.783993	55.696827
346	2023-07-01 01:57:30	-1.0	1.0	-1.0		
347	2023-07-01 01:58:00	-1.0	1.0	-1.0	10.782572	55.691238
348	2023-07-01 01:58:30	-1.0	1.0	-1.0		
349	2023-07-01 01:59:00	-1.0	1.0	-1.0	10.781253	55.685668
350	2023-07-01 01:59:30	-1.0	1.0	-1.0		
351	2023-07-01 02:00:00	-1.0	1.0	-1.0	10.77987	55.680052
352	2023-07-01 02:00:31	-1.0	1.0	-1.0		
353	2023-07-01 02:01:00				10.77856	55.674632
354	2023-07-01 02:01:01	-1.0	1.0	-1.0		
355	2023-07-01 02:01:31	-1.0	1.0	-1.0		
356	2023-07-01 02:02:00				10.777105	55.669173
357	2023-07-01 02:02:01	-1.0	1.0	-1.0		
358	2023-07-01 02:02:31	-1.0	1.0	-1.0		
359	2023-07-01 02:03:00				10.775775	55.663762
360	2023-07-01 02:03:01	-1.0	1.0	-1.0		
361	2023-07-01 02:03:31	-1.0	1.0	-1.0		
362	2023-07-01 02:04:00				10.774285	55.658313
363	2023-07-01 02:04:01	-1.0	1.0	-1.0		
364	2023-07-01 02:04:31	-1.0	1.0	-1.0		
365	2023-07-01 02:05:00				10.772912	55.65293
366	2023-07-01 02:05:01	-1.0	1.0	-1.0		
367	2023-07-01 02:05:32	-1.0	1.0	-1.0		
368	2023-07-01 02:06:00				10.772393	55.647377
369	2023-07-01 02:06:02	-1.0	1.0	-1.0		
370	2023-07-01 02:06:32	-1.0	1.0	-1.0		
371	2023-07-01 02:07:00				10.773255	55.641797
372	2023-07-01 02:07:02	-1.0	1.0	-1.0		
373	2023-07-01 02:07:32	-1.0	1.0	-1.0		
374	2023-07-01 02:08:00				10.775612	55.636302
375	2023-07-01 02:08:02	-1.0	1.0	-1.0		
376	2023-07-01 02:08:32	-1.0	1.0	-1.0		
377	2023-07-01 02:09:00				10.77917	55.630978
378	2023-07-01 02:09:02	-1.0	1.0	-1.0		
379	2023-07-01 02:09:32	-1.0	1.0	-1.0		
380	2023-07-01 02:10:00				10.783008	55.625745
381	2023-07-01 02:10:02	-1.0	1.0	-1.0		
382	2023-07-01 02:10:32	-1.0	1.0	-1.0		
383	2023-07-01 02:11:00				10.787015	55.620523
384	2023-07-01 02:11:02	-1.0	1.0	-1.0		
385	2023-07-01 02:11:32	-1.0	1.0	-1.0		
386	2023-07-01 02:12:00				10.791025	55.615275
387	2023-07-01 02:12:02	-1.0	1.0	-1.0		
388	2023-07-01 02:12:32	-1.0	1.0	-1.0		
389	2023-07-01 02:13:00				10.794987	55.610097
390	2023-07-01 02:13:02	-1.0	1.0	-1.0		
391	2023-07-01 02:13:32	-1.0	1.0	-1.0		
392	2023-07-01 02:14:00				10.798903	55.604893
393	2023-07-01 02:14:03	-1.0	1.0	-1.0		
394	2023-07-01 02:14:33	-1.0	1.0	-1.0		
395	2023-07-01 02:15:00				10.802852	55.59972
396	2023-07-01 02:15:03	-1.0	1.0	-1.0		
397	2023-07-01 02:15:33	-1.0	1.0	-1.0		
398	2023-07-01 02:16:00				10.806838	55.594585
399	2023-07-01 02:16:03	-1.0	1.0	-1.0		
400	2023-07-01 02:16:33	-1.0	1.0	-1.0		
401	2023-07-01 02:17:00				10.810827	55.589415
402	2023-07-01 02:17:03	-1.0	1.0	-1.0		
403	2023-07-01 02:17:33	-1.0	1.0	-1.0		
404	2023-07-01 02:18:00				10.81469	55.584285
405	2023-07-01 02:18:03	-1.0	1.0	-1.0		
406	2023-07-01 02:18:33	-1.0	1.0	-1.0		
407	2023-07-01 02:19:00				10.818678	55.579162
408	2023-07-01 02:19:03	-1.0	1.0	-1.0		
409	2023-07-01 02:19:33	-1.0	1.0	-1.0		
410	2023-07-01 02:20:00				10.822447	55.573987
411	2023-07-01 02:20:03	-1.0	1.0	-1.0		
412	2023-07-01 02:20:33	-1.0	1.0	-1.0		
413	2023-07-01 02:21:00				10.826298	55.568828
414	2023-07-01 02:21:03	-1.0	1.0	-1.0		
415	2023-07-01 02:21:33	-1.0	1.0	-1.0		
416	2023-07-01 02:22:00				10.830112	55.563723
417	2023-07-01 02:22:04	-1.0	1.0	-1.0		
418	2023-07-01 02:22:34	-1.0	1.0	-1.0		
419	2023-07-01 02:23:00				10.833848	55.558535
420	2023-07-01 02:23:04	-1.0	1.0	-1.0		
421	2023-07-01 02:23:34	-1.0	1.0	-1.0		
422	2023-07-01 02:24:00				10.837563	55.553398
423	2023-07-01 02:24:04	-1.0	1.0	-1.0		
424	2023-07-01 02:24:34	-1.0	1.0	-1.0		
425	2023-07-01 02:25:00				10.841302	55.548222
426	2023-07-01 02:25:04	-1.0	1.0	-1.0		
427	2023-07-01 02:25:34	-1.0	1.0	-1.0		
428	2023-07-01 02:26:00				10.845125	55.543062
429	2023-07-01 02:26:04	-1.0	1.0	-1.0		
430	2023-07-01 02:26:34	-1.0	1.0	-1.0		
431	2023-07-01 02:27:00				10.848752	55.53786
432	2023-07-01 02:27:04	-1.0	1.0	-1.0		
433	2023-07-01 02:27:34	-1.0	1.0	-1.0		
434	2023-07-01 02:28:00				10.852468	55.532625
435	2023-07-01 02:28:04	-1.0	1.0	-1.0		
436	2023-07-01 02:28:34	-1.0	1.0	-1.0		
