Year,Farge,DIN,PO4-P,SiO2,TOC,TOTN,TOTP/F,TOTP_P,TOTP,TSM,UV-Abs. 410nm,UV-Abs. 254nm
1990,,,198.35992042571118,,93766.2291727639,10830.747734151899,,,443.400926862205,309884.111608845,,
1991,,,147.48327529438242,,67276.62201858046,9871.871612463307,,,363.08568659775085,109062.86727498099,,
1992,,,142.39446107141745,,80037.11377963693,11671.00581808391,,,428.46639215823683,372690.3309453526,,
1993,,8494.531355585665,178.1386029212662,,101761.21919431785,12832.127516257826,,,392.0623129633507,231490.39780780667,,
1994,,7855.835833120522,107.97198476243169,,84024.99120559856,11405.42932242706,,,282.29735811138323,151771.77103486223,,
1995,,9044.30943850588,347.94115990908756,,96027.2944472223,13275.151951710583,,,637.7703714657969,310201.58652843564,,
1996,,7283.667715262844,94.89492058316037,42793.16594309294,62170.253836829754,10142.609421657631,,,270.5547778582875,126585.26648524632,,
1997,,8483.150102352813,170.84766480014255,54923.94557672468,82753.78173739338,11734.04218706837,,,350.18861662175226,217492.49872479241,,
1998,,8646.503910320323,119.54266711592797,69189.19060445372,100335.37750168263,13164.458503518223,,,292.44589458184436,128855.38642075175,,
1999,,9324.646810027563,206.75237691488834,92885.4982588363,98150.41462800406,14044.890822427064,,,360.6482316446094,258172.62033626935,,
2000,,10713.891142387005,208.51782683051738,141095.15846884888,152009.15000992897,18532.195243774222,,,610.1756925235777,300420.7920568833,,
2001,,7703.259391450256,122.48982663966645,89763.19239001958,100971.08540800912,12150.843661945957,,,360.47038221534183,201311.9095111726,,
2002,,7752.076078409977,106.7501938528027,81784.92855498238,85785.37056060771,10928.982226641108,,,298.8617971195246,119423.55123994607,,
2003,,7746.102535005656,40.21686808924988,66029.66464886433,71169.68729158115,9840.679279015883,,,226.95448627635534,114781.25409729575,,
2004,,8126.063435363071,170.9156310333145,68614.08161696621,82264.20551006065,12237.563233585544,,,343.80763990353245,175359.67249533598,,
2005,,7548.747156153164,167.85365750957922,74013.5275586956,89344.7497275446,11077.995339235169,,,368.12115257554285,196039.30568350534,,
2006,,9235.631756508374,223.11524468571426,87541.31586492821,101334.65393085362,14838.113625241378,,,433.6088324295566,225782.07003665026,,
2007,,8460.480739228577,156.49764669402808,79027.9454968357,93285.94989168395,12132.225685069412,,,303.0376752175127,132390.47135911803,,
2008,,9557.796263770564,340.6399473410711,100614.86755312388,110550.2443855906,14405.932794934906,,,623.0563408568794,391853.38264765736,,
2009,,7123.301457138701,154.22316588467532,88442.3258541684,102216.41654428671,12161.045509433765,,,348.7241020612987,164110.19592878962,,
2010,,7967.064747174517,151.48198129401015,87429.79628515043,95865.84648027059,12326.737478447416,,,322.3139092467195,160306.78447033293,,
2011,,9732.290169702857,389.7854496685714,114527.06004316767,131392.37262152293,16556.745946799998,,,723.5287338514286,442675.4916,,
2012,,8281.62678118288,211.76919365641143,103343.19958997174,116272.9991919316,15258.7707356656,,,436.85678255926854,198346.98883887945,,
2013,,8291.332781546433,251.13270056844573,86738.43401838787,95388.29650758916,12747.096216328968,,,443.4266367623398,250716.93975208633,,
2014,,8691.489734913122,326.6788460817298,104338.82537526762,124771.24885141685,14482.553427965766,,,517.1078812355208,288760.8539025661,,
2015,,8815.866362784167,273.0202321935903,100227.425329157,104657.91829380138,14629.55068618968,,,476.2463557103359,276061.63211106625,,
2016,,7384.546684524555,233.63026183358255,78542.36012867231,81977.4580809187,11882.279847237858,,,379.4089581775939,307506.09640081157,,
2017,,8044.657350154922,178.30588599423007,83364.12499859341,98600.12590907334,12204.072674852403,,,300.4857693081826,163524.0715607044,,
2018,,8855.403933864773,181.6201243771813,75618.12902885706,97210.31575351297,12476.24832679685,93.53209378309167,,313.75501389640414,143557.90328646658,317010.29757376754,3281049.5910189813
2019,,10592.088166380201,216.5166364909134,89295.00941166833,103658.00749742745,15451.22588487464,135.55114295970026,,489.3951326568769,219771.38702342287,488424.0403019679,4777932.251106293
2020,,9884.958461832879,355.2836837714173,105494.94770939476,120403.91708037244,14358.400073875622,,,538.2548807308629,289773.9022907789,482537.38809867133,4724446.872704299
2021,,10306.972659850588,240.84050665223157,95700.28260408132,102226.48218416383,13982.2471383887,,,417.0558071700148,224359.01527495633,379007.3885422101,3851269.612011521
2022,536979.1677233651,7072.462603401713,146.05303487443732,69795.09616590552,79097.7451224454,10129.888074195806,,215.82275333774564,290.27746467331923,164347.23062879985,270235.50924669945,2827083.1589955566
2023,1048576.6253265238,9843.023427592743,359.50209299959783,125983.36042929646,150828.33872996827,16460.83163869207,,385.63309951129634,652.4418311306458,329439.7485647721,,
2024,,,,,,,,,,,,
