station_id,station_code,station_name,station_type,longitude,latitude
40352,BUSEDRA,Drammenselva,Elv,10.00789751,59.75257593
40355,NUM1,Numedalslågen v/E18,Elv,10.07094871,59.10128295
40356,CGL SAR,"Glomma, Sarpsfossen",Elv,11.13411158,59.27980207
