sample_date,station_id,station_code,station_name,DOC_mg/L C,outlier_DOC_mg/L C,Farge_mg Pt/l,outlier_Farge_mg Pt/l,NH4-N_µg/l,outlier_NH4-N_µg/l,NO3-N_µg/l,outlier_NO3-N_µg/l,PO4-P_µg/l,outlier_PO4-P_µg/l,STS_mg/l,outlier_STS_mg/l,SiO2_mg/l,outlier_SiO2_mg/l,TOC_mg/l,outlier_TOC_mg/l,TOTN_µg/l,outlier_TOTN_µg/l,TOTP/F_µg/l P,outlier_TOTP/F_µg/l P,TOTP_P_µg/l P,outlier_TOTP_P_µg/l P,TSM_mg/l,outlier_TSM_mg/l,UV-Abs. 410nm_Abs/cm,outlier_UV-Abs. 410nm_Abs/cm
1990-01-11,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,235.0,False,0.5,False,,,,,,,350.0,False,,,,,0.8,False,,
1990-02-12,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,295.0,False,2.0,False,,,,,,,419.0,False,,,,,2.0,False,,
1990-03-13,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,265.0,False,1.5,False,,,,,,,405.0,False,,,,,1.4,False,,
1990-04-18,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,270.0,False,1.5,False,,,,,,,399.0,False,,,,,1.3,False,,
1990-05-21,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,178.0,False,0.5,False,,,,,,,317.0,False,,,,,1.7,False,,
1990-06-12,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,117.0,False,1.0,False,,,,,,,299.0,False,,,,,1.5,False,,
1990-07-13,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,157.0,False,5.0,False,,,,,,,296.0,False,,,,,1.4,False,,
1990-08-13,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,118.0,False,0.5,False,,,,,,,270.0,False,,,,,0.7,False,,
1990-09-10,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,118.0,False,3.0,False,,,,,,,245.0,False,,,,,1.0,False,,
1990-10-15,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,193.0,False,3.0,False,,,,,,,318.0,False,,,,,1.0,False,,
1990-11-13,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,250.0,False,1.0,False,,,,,,,371.0,False,,,,,0.9,False,,
1990-12-12,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,230.0,False,1.0,False,,,,,,,347.0,False,,,,,0.9,False,,
1991-01-21,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,285.0,False,2.0,False,,,,,,,395.0,False,,,,,1.01,False,,
1991-02-10,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,250.0,False,2.0,False,,,,,,,371.0,False,,,,,1.17,False,,
1991-03-08,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,265.0,False,0.5,False,,,,,,,381.0,False,,,,,1.12,False,,
1991-04-19,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,315.0,False,2.0,False,,,,,,,443.0,False,,,,,2.49,False,,
1991-05-13,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,230.0,False,1.0,False,,,,,,,374.0,False,,,,,1.37,False,,
1991-06-05,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,166.0,False,2.0,False,,,,,,,318.0,False,,,,,1.4,False,,
1991-07-12,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,148.0,False,2.0,False,,,,,,,326.0,False,,,,,1.32,False,,
1991-08-12,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,240.0,False,1.0,False,,,,,,,312.0,False,,,,,3.18,False,,
1991-09-09,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,149.0,False,1.0,False,,,,,,,356.0,False,,,,,1.33,False,,
1991-10-17,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,150.0,False,2.0,False,,,,,2.29,False,296.0,False,,,,,1.93,False,,
1991-11-12,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,290.0,False,2.0,False,,,,,,,428.0,False,,,,,1.85,False,,
1991-12-09,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,270.0,False,3.0,False,,,,,,,416.0,False,,,,,1.98,False,,
1992-01-22,40352,DRA1,Drammenselva v/Krokstadelva,,,,,,,240.0,False,1.0,False,,,,,,,351.0,False,,,,,1.04,False,,
1992-02-10,40352,DRA1,Drammenselva v/Krokstadelva,,,,,22.0,False,275.0,False,2.0,False,,,,,,,395.0,False,,,,,1.39,False,,
1992-03-10,40352,DRA1,Drammenselva v/Krokstadelva,,,,,30.0,False,305.0,False,3.0,False,,,,,,,435.0,False,,,,,2.89,False,,
1992-04-06,40352,DRA1,Drammenselva v/Krokstadelva,,,,,18.0,False,370.0,False,2.0,False,,,,,,,464.0,False,,,,,1.98,False,,
1992-05-07,40352,DRA1,Drammenselva v/Krokstadelva,,,,,26.0,False,325.0,False,2.0,False,,,,,,,477.0,False,,,,,2.71,False,,
