index	time	FA/RAMSES/DERIVED/RRS/CALIBRATED/SHIP_SHADDOW	FA/RAMSES/DERIVED/RRS/CALIBRATED/SUN_GLINT	FA/RAMSES/DERIVED/RRS/CALIBRATED/SUN_HEIGHT	longitude	latitude
0	2023-09-01 00:00:00				11.326787	56.248758
1	2023-09-01 00:00:02	1.0	1.0	-1.0		
2	2023-09-01 00:00:32	1.0	1.0	-1.0		
3	2023-09-01 00:01:00				11.322517	56.24409
4	2023-09-01 00:01:02	1.0	1.0	-1.0		
5	2023-09-01 00:01:32	1.0	1.0	-1.0		
6	2023-09-01 00:02:00				11.318387	56.239455
7	2023-09-01 00:02:02	1.0	1.0	-1.0		
8	2023-09-01 00:02:32	1.0	1.0	-1.0		
9	2023-09-01 00:03:00				11.314112	56.23461
10	2023-09-01 00:03:02	1.0	1.0	-1.0		
11	2023-09-01 00:03:32	1.0	1.0	-1.0		
12	2023-09-01 00:04:00				11.309922	56.22983
13	2023-09-01 00:04:02	1.0	1.0	-1.0		
14	2023-09-01 00:04:32	1.0	1.0	-1.0		
15	2023-09-01 00:05:00				11.306025	56.225003
16	2023-09-01 00:05:02	1.0	1.0	-1.0		
17	2023-09-01 00:05:32	1.0	1.0	-1.0		
18	2023-09-01 00:06:00				11.302003	56.220028
19	2023-09-01 00:06:02	1.0	1.0	-1.0		
20	2023-09-01 00:06:32	1.0	1.0	-1.0		
21	2023-09-01 00:07:00				11.298142	56.215202
22	2023-09-01 00:07:03	1.0	1.0	-1.0		
23	2023-09-01 00:07:33	1.0	1.0	-1.0		
24	2023-09-01 00:08:00				11.294208	56.210307
25	2023-09-01 00:08:03	1.0	1.0	-1.0		
26	2023-09-01 00:08:33	1.0	1.0	-1.0		
27	2023-09-01 00:09:00				11.290202	56.205337
28	2023-09-01 00:09:03	1.0	1.0	-1.0		
29	2023-09-01 00:09:33	1.0	1.0	-1.0		
30	2023-09-01 00:10:00				11.286272	56.200535
31	2023-09-01 00:10:03	1.0	1.0	-1.0		
32	2023-09-01 00:10:33	1.0	1.0	-1.0		
33	2023-09-01 00:11:00				11.282123	56.195892
34	2023-09-01 00:11:03	1.0	1.0	-1.0		
35	2023-09-01 00:11:33	1.0	1.0	-1.0		
36	2023-09-01 00:12:00				11.2773	56.191332
37	2023-09-01 00:12:03	1.0	1.0	-1.0		
38	2023-09-01 00:12:33	1.0	1.0	-1.0		
39	2023-09-01 00:13:00				11.271813	56.186993
40	2023-09-01 00:13:03	1.0	1.0	-1.0		
41	2023-09-01 00:13:33	1.0	1.0	-1.0		
42	2023-09-01 00:14:00				11.265638	56.182817
43	2023-09-01 00:14:03	1.0	1.0	-1.0		
44	2023-09-01 00:14:34	1.0	1.0	-1.0		
45	2023-09-01 00:15:00				11.259378	56.178732
