station_name,station_code,longitude,latitude,sample_date,depth_m,CDOM_abs_443_1perm,Chl-a_µgperl,DIN_µgperl,DIN:DIP,DOC_mgperl,DOC:DIN,DOC:TOTN,NH4-N_µgperl,NO2-N_µgperl,NO3+NO2-N_µgperl,NO3-N_µgperl,PO4-P_µgperl,SSS_PSU,SST_degC,TOC_mgperl,TOTN_µgperl,TOTN:TOTP,TOTP_µgperl,TSM_mgperl,secchi_depth_m
Arendal,CODE:VT5,8.816667,58.383332,1990-01-08,0.0,,0.89,,,,,,,0.56,7.45,,,30.41,6.01,,,,,,
Arendal,CODE:VT5,8.816667,58.383332,1990-01-08,5.0,,0.63,,,,,,,0.91,6.37,,,31.15,6.08,,,,,,
Arendal,CODE:VT5,8.816667,58.383332,1990-01-08,10.0,,0.51,,,,,,,0.56,6.08,,,31.76,6.33,,,,,,
Arendal,CODE:VT5,8.816667,58.383332,1990-02-04,0.0,,0.6,,,,,,,13.58,11.52,,,32.5,5.82,,,,,,5.0
Arendal,CODE:VT5,8.816667,58.383332,1990-02-04,5.0,,0.51,,,,,,,13.16,11.39,,,32.52,5.83,,,,,,5.0
Arendal,CODE:VT5,8.816667,58.383332,1990-02-04,10.0,,0.66,,,,,,,13.44,11.23,,,32.58,5.86,,,,,,5.0
Arendal,CODE:VT5,8.816667,58.383332,1990-03-01,0.0,,0.76,,,,,,,4.06,13.66,,,30.88,5.38,,,,,,6.0
Arendal,CODE:VT5,8.816667,58.383332,1990-03-01,5.0,,0.76,,,,,,,4.48,13.71,,,30.89,5.39,,,,,,6.0
Arendal,CODE:VT5,8.816667,58.383332,1990-03-01,10.0,,0.71,,,,,,,3.78,13.56,,,31.19,5.52,,,,,,6.0
Arendal,CODE:VT5,8.816667,58.383332,1990-04-03,0.0,,0.48,,,,,,,2.94,6.43,,,32.99,6.38,,,,,,
Arendal,CODE:VT5,8.816667,58.383332,1990-04-03,5.0,,0.72,,,,,,,3.36,9.96,,,33.0,6.38,,,,,,
Arendal,CODE:VT5,8.816667,58.383332,1990-04-03,10.0,,0.62,,,,,,,3.08,10.4,,,33.74,6.53,,,,,,
