station_name,station_code,longitude,latitude,sample_date,depth_m,CDOM_abs_443_1perm,Chl-a_µgperl,DIN_µgperl,DIN:DIP,DOC_mgperl,DOC:DIN,DOC:TOTN,NH4-N_µgperl,NO2-N_µgperl,NO3+NO2-N_µgperl,NO3-N_µgperl,PO4-P_µgperl,SSS_PSU,SST_degC,TOC_mgperl,TOTN_µgperl,TOTN:TOTP,TOTP_µgperl,TSM_mgperl,secchi_depth_m
Arendal,CODE:VT5,8.816667,58.383332,1990-04-17,0.0,,2.52,,,,,,,1.26,2.96,,,27.77,6.48,,,,,,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-04-17,5.0,,2.38,,,,,,,1.26,2.91,,,29.62,6.68,,,,,,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-04-17,10.0,,0.97,,,,,,,2.66,5.53,,,32.21,6.62,,,,,,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-05-14,0.0,,2.03,,,,,,,0.84,0.14,,,20.97,12.31,,,,,,7.0
Arendal,CODE:VT5,8.816667,58.383332,1990-05-14,5.0,,1.89,,,,,,,0.56,0.06,,,21.27,12.3,,,,,,7.0
Arendal,CODE:VT5,8.816667,58.383332,1990-05-14,10.0,,1.61,,,,,,,0.14,0.07,,,24.21,11.93,,,,,,7.0
Arendal,CODE:VT5,8.816667,58.383332,1990-06-14,0.0,,0.7,,,,,,,,,,,26.58,15.34,,,,,,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-06-14,5.0,,0.94,,,,,,,0.14,0.15,,,28.0,13.59,,,,,,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-06-14,10.0,,1.4,,,,,,,0.28,0.16,,,29.39,12.29,,,,,,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-06-25,0.0,,0.77,16.25,52.41935483870968,,,,15.41,0.42,0.84,,0.31,27.91,15.19,,145.81,12.388275276125745,11.77,0.47,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-06-25,5.0,,1.05,21.99,35.46774193548387,,,,21.01,0.28,0.98,,0.62,28.25,15.02,,169.06,16.05508072174739,10.53,0.82,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-06-25,10.0,,1.23,2.66,8.580645161290324,,,,1.4,0.42,1.26,,0.31,29.31,14.14,,176.2,13.228228228228229,13.32,0.73,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-07-18,0.0,,1.26,5.46,17.612903225806452,,,,3.5,1.68,1.96,,0.31,23.56,16.82,,,,,0.86,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-07-18,5.0,,1.26,10.78,11.591397849462366,,,,9.8,0.7,0.98,,0.93,27.28,15.78,,230.83,14.90187217559716,15.49,0.72,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-07-18,10.0,,1.26,14.989999999999998,48.354838709677416,,,,13.03,0.14,1.96,,0.31,29.53,15.19,,168.36,12.077474892395983,13.94,0.72,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-08-01,0.0,,1.63,6.44,3.462365591397849,,,,4.34,0.28,2.1,,1.86,30.26,17.07,,246.38,19.4,12.7,0.78,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-08-01,5.0,,3.41,1.96,2.10752688172043,,,,0.42,0.42,1.54,,0.93,32.63,14.89,,176.2,15.375218150087258,11.46,1.15,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-08-01,10.0,,14.25,10.64,4.290322580645162,,,,8.68,0.56,1.96,,2.48,33.66,13.92,,147.35,12.51911639762107,11.77,0.8,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-08-30,0.0,,0.84,5.46,5.870967741935483,,,,3.78,0.56,1.68,,0.93,26.23,17.7,,168.78,13.622276029055689,12.39,0.72,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-08-30,5.0,,0.96,5.6,18.064516129032256,,,,3.78,0.28,1.82,,0.31,26.3,17.7,,191.89,11.261150234741784,17.04,0.37,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-08-30,10.0,,1.11,5.32,5.720430107526882,,,,3.36,0.14,1.96,,0.93,31.8,16.55,,190.35,12.288573273079406,15.49,0.53,10.0
Arendal,CODE:VT5,8.816667,58.383332,1990-09-12,0.0,,2.66,14.84,15.956989247311826,,,,6.86,0.14,7.98,,0.93,22.51,15.86,,318.09,14.465211459754434,21.99,1.06,7.0
Arendal,CODE:VT5,8.816667,58.383332,1990-09-12,5.0,,3.29,1.26,2.032258064516129,,,,0.28,0.14,0.98,,0.62,24.16,15.85,,191.61,10.312701829924652,18.58,0.63,7.0
Arendal,CODE:VT5,8.816667,58.383332,1990-09-12,10.0,,1.54,5.88,2.709677419354839,,,,5.04,0.14,0.84,,2.17,27.69,15.82,,305.07,7.189959934008956,42.43,0.39,7.0
Arendal,CODE:VT5,8.816667,58.383332,1990-10-03,0.0,,1.01,25.92,3.8061674008810575,,,,13.31,4.34,12.61,,6.81,32.97,13.15,,141.61,8.624238733252131,16.42,0.43,
Arendal,CODE:VT5,8.816667,58.383332,1990-10-03,5.0,,0.96,22.98,3.22752808988764,,,,12.19,4.06,10.79,,7.12,33.04,13.16,,164.58,8.571875,19.2,0.26,
Arendal,CODE:VT5,8.816667,58.383332,1990-10-03,10.0,,0.89,34.6,4.656796769851952,,,,19.61,4.48,14.99,,7.43,33.1,13.18,,111.35,7.188508715300193,15.49,0.23,
Arendal,CODE:VT5,8.816667,58.383332,1990-10-22,0.0,,1.94,106.73,9.57219730941704,,,,78.86,4.9,27.87,,11.15,30.95,10.59,,360.39,20.066258351893094,17.96,0.71,9.0
Arendal,CODE:VT5,8.816667,58.383332,1990-10-22,5.0,,1.94,36.98,3.731584258324925,,,,13.31,4.9,23.67,,9.91,31.64,11.2,,172.7,9.77916194790487,17.66,0.19,9.0
Arendal,CODE:VT5,8.816667,58.383332,1990-10-22,10.0,,1.5,37.120000000000005,2.396384764364106,,,,19.61,4.62,17.51,,15.49,32.68,11.99,,190.21,8.900795507721105,21.37,0.16,9.0
Arendal,CODE:VT5,8.816667,58.383332,1990-11-12,0.0,,3.34,108.69,16.72153846153846,,,,,2.38,24.23,,6.5,25.68,7.63,,317.95,13.687042617305208,23.23,0.84,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-11-12,5.0,,1.89,47.63,3.494497432134996,,,,11.91,1.68,35.72,,13.63,26.17,8.02,,194.41,9.231244064577398,21.06,0.37,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-11-12,10.0,,0.73,68.35,4.085475194261805,,,,4.62,0.28,63.73,,16.73,31.91,11.82,,196.09,8.221802935010482,23.85,0.33,8.0
Arendal,CODE:VT5,8.816667,58.383332,1990-11-23,0.0,,2.8,38.38,4.131324004305705,,,,13.03,2.1,25.35,,9.29,26.62,6.79,,236.99,9.809188741721854,24.16,0.45,9.0
Arendal,CODE:VT5,8.816667,58.383332,1990-11-23,5.0,,2.66,51.54,5.36875,,,,20.31,3.36,31.23,,9.6,26.69,6.8,,228.59,9.224778046811943,24.78,0.53,9.0
Arendal,CODE:VT5,8.816667,58.383332,1990-11-23,10.0,,2.31,62.19,4.780169100691776,,,,17.65,3.78,44.54,,13.01,27.32,7.56,,233.21,9.652731788079471,24.16,0.33,9.0
Arendal,CODE:VT5,8.816667,58.383332,1990-12-06,0.0,,0.23,93.42,5.027987082884823,,,,1.26,1.4,92.16,,18.58,30.09,7.11,,219.34,8.531310774017891,25.71,0.26,9.0
Arendal,CODE:VT5,8.816667,58.383332,1990-12-06,5.0,,0.23,93.84,5.050592034445641,,,,4.34,1.26,89.5,,18.58,31.37,7.43,,254.5,9.231048240841494,27.57,0.24,
Arendal,CODE:VT5,8.816667,58.383332,1990-12-06,10.0,,0.26,92.72,4.678102926337034,,,,1.68,1.4,91.04,,19.82,31.6,7.68,,241.76,8.671449067431851,27.88,0.32,
Arendal,CODE:VT5,8.816667,58.383332,1991-01-07,0.0,,0.58,113.87,5.178262846748522,,,,2.8,12.6,111.07,,21.99,32.03,5.92,,227.61,7.816277472527473,29.12,1.08,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-01-07,5.0,,0.48,112.61,4.783772302463891,,,,4.34,13.3,108.27,,23.54,32.35,5.98,,229.99,7.577924217462932,30.35,1.23,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-01-07,10.0,,0.62,109.81,4.6041928721174,,,,1.4,13.58,108.41,,23.85,32.42,6.03,,242.04,8.057256990679095,30.04,1.12,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-01-28,0.0,,0.87,175.93,9.01742696053306,,,,15.41,8.54,160.52,,19.51,28.52,3.47,,344.99,7.37630960017105,,0.53,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-01-28,5.0,,1.04,186.85,8.2640424590889,,,,19.61,8.4,167.24,,22.61,29.19,3.93,,317.81,9.244037230948225,34.38,0.72,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-01-28,10.0,,0.89,198.61,7.543106722369921,,,,23.81,8.4,174.8,,26.33,30.91,4.75,,304.51,8.54884896125772,35.62,0.68,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-02-15,0.0,,2.94,125.78,6.346115035317861,,,,7.56,3.78,118.22,,19.82,28.46,0.88,,268.65,8.421630094043886,31.9,1.02,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-02-15,5.0,,2.73,122.56,5.73514272344408,,,,4.2,4.06,118.36,,21.37,28.84,1.41,,255.9,7.511006750807161,34.07,2.15,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-02-15,10.0,,3.78,119.19,5.27156125608138,,,,5.6,2.94,113.59,,22.61,30.01,2.24,,255.9,8.346379647749512,30.66,1.29,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-03-07,0.0,,4.06,46.37,13.59824046920821,,,,14.01,1.26,32.36,,3.41,26.61,1.67,,253.1,11.042757417102964,22.92,0.96,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-03-07,5.0,,4.48,48.75,9.828629032258064,,,,17.37,1.4,31.38,,4.96,27.0,1.45,,265.57,11.4321997417133,23.23,1.0,
Arendal,CODE:VT5,8.816667,58.383332,1991-03-07,10.0,,4.06,43.29,9.309677419354838,,,,11.21,0.98,32.08,,4.65,27.43,1.52,,212.06,11.044791666666669,19.2,0.74,
Arendal,CODE:VT5,8.816667,58.383332,1991-03-20,0.0,,0.85,62.05,11.774193548387098,,,,26.89,2.52,35.16,,5.27,23.82,2.54,,257.86,18.095438596491228,14.25,0.71,
Arendal,CODE:VT5,8.816667,58.383332,1991-03-20,5.0,,0.92,49.86,10.05241935483871,,,,26.61,1.54,23.25,,4.96,25.03,2.18,,300.16,19.7733860342556,15.18,0.77,
Arendal,CODE:VT5,8.816667,58.383332,1991-03-20,10.0,,0.68,46.78,8.876660341555977,,,,22.41,0.84,24.37,,5.27,26.94,2.14,,210.66,15.815315315315315,13.32,0.39,
Arendal,CODE:VT5,8.816667,58.383332,1991-04-08,0.0,,1.59,117.66,13.570934256055365,,,,14.57,3.64,103.09,,8.67,24.94,6.21,,290.78,13.223283310595724,21.99,0.94,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-04-08,5.0,,1.6,108.7,7.017430600387346,,,,11.21,1.54,97.49,,15.49,27.06,4.57,,281.39,11.35552865213882,24.78,0.38,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-04-08,10.0,,0.39,131.81,11.198810535259137,,,,16.81,3.92,115.0,,11.77,27.91,4.55,,275.09,13.062203228869896,21.06,0.41,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-05-01,0.0,,1.61,31.66,20.4258064516129,,,,16.81,1.12,14.85,,1.55,28.47,7.05,,230.13,10.927350427350428,21.06,0.66,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-05-01,5.0,,2.45,18.35,11.838709677419356,,,,7.0,0.7,11.35,,1.55,28.44,6.72,,216.12,10.113242863827796,21.37,0.69,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-05-01,10.0,,2.63,19.33,12.470967741935482,,,,7.0,0.7,12.33,,1.55,28.52,6.69,,230.13,9.649056603773584,23.85,0.67,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-05-10,0.0,,1.61,17.78,14.338709677419356,,,,7.42,0.7,10.36,,1.24,30.39,7.09,,296.94,11.983050847457626,24.78,1.06,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-05-10,5.0,,2.2,27.03,17.438709677419354,,,,1.4,1.12,25.63,,1.55,30.73,6.84,,222.71,7.338056013179572,30.35,0.72,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-05-10,10.0,,0.71,145.53,6.910256410256411,,,,1.4,2.1,144.13,,21.06,34.26,5.93,,206.04,7.734234234234234,26.64,0.51,7.0
Arendal,CODE:VT5,8.816667,58.383332,1991-05-23,0.0,,0.7,105.33,6.070893371757925,,,,17.37,,87.96,,17.35,,6.4,,314.17,7.35072531586336,42.74,1.12,12.0
Arendal,CODE:VT5,8.816667,58.383332,1991-05-23,5.0,,0.52,88.94,5.416565164433617,,,,17.37,,71.57,,16.42,,6.12,,200.44,6.407928388746803,31.28,0.72,
Arendal,CODE:VT5,8.816667,58.383332,1991-05-23,10.0,,0.44,92.59,5.336599423631124,,,,18.35,,74.24,,17.35,,6.03,,202.54,6.475063938618925,31.28,0.83,
Arendal,CODE:VT5,8.816667,58.383332,1991-06-09,0.0,,0.67,9.66,1.1555023923444978,,,,8.54,0.28,1.12,,8.36,29.33,11.85,,334.76,8.85842815559672,37.79,0.71,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-06-09,5.0,,0.74,5.6000000000000005,0.6956521739130435,,,,4.48,0.28,1.12,,8.05,29.33,11.89,,188.39,8.219458987783593,22.92,0.83,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-06-09,10.0,,1.14,5.88,4.741935483870968,,,,4.2,1.4,1.68,,1.24,29.6,11.2,,196.09,8.330076465590485,23.54,0.63,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-06-19,0.0,,0.68,12.04,7.76774193548387,,,,10.36,0.14,1.68,,1.55,27.06,12.67,,227.47,10.962409638554217,20.75,0.98,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-06-19,5.0,,0.8,11.48,12.344086021505376,,,,8.4,0.14,3.08,,0.93,27.12,12.65,,203.94,9.145291479820628,22.3,0.86,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-06-19,9.0,,,10.5,3.0791788856304985,,,,8.82,,1.68,,3.41,,,,220.47,9.009807928075194,24.47,,
Arendal,CODE:VT5,8.816667,58.383332,1991-06-19,10.0,,1.63,10.78,5.795698924731183,,,,8.82,0.14,1.96,,1.86,29.58,11.53,,211.64,10.199518072289155,20.75,0.74,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-07-08,0.0,,0.27,7.28,4.696774193548388,,,,4.2,0.84,3.08,,1.55,27.77,16.13,,281.67,13.992548435171388,20.13,0.49,14.0
Arendal,CODE:VT5,8.816667,58.383332,1991-07-08,5.0,,0.29,3.64,1.956989247311828,,,,1.4,0.7,2.24,,1.86,28.18,15.76,,230.13,12.182636315510852,18.89,0.81,14.0
Arendal,CODE:VT5,8.816667,58.383332,1991-07-08,10.0,,0.37,3.78,1.3548387096774193,,,,1.4,0.56,2.38,,2.79,30.74,12.44,,209.68,10.416294088425238,20.13,0.58,14.0
Arendal,CODE:VT5,8.816667,58.383332,1991-07-20,0.0,,0.27,24.23,11.16589861751152,,,,22.97,0.14,1.26,,2.17,25.66,17.54,,241.76,12.798305982001056,18.89,0.52,11.0
Arendal,CODE:VT5,8.816667,58.383332,1991-07-20,5.0,,0.35,20.03,9.23041474654378,,,,18.21,0.14,1.82,,2.17,25.87,17.04,,191.89,10.865798414496036,17.66,0.61,11.0
Arendal,CODE:VT5,8.816667,58.383332,1991-07-20,10.0,,0.86,20.59,13.283870967741937,,,,19.61,0.14,0.98,,1.55,30.46,15.69,,166.82,9.288418708240531,17.96,0.79,11.0
Arendal,CODE:VT5,8.816667,58.383332,1991-08-05,0.0,,0.75,23.53,12.650537634408602,,,,21.57,0.14,1.96,,1.86,26.99,18.63,,283.64,12.71928251121076,22.3,0.76,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-08-05,5.0,,0.67,2.38,0.9596774193548386,,,,1.4,0.14,0.98,,2.48,26.97,18.65,,202.96,10.2401614530777,19.82,0.19,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-08-05,10.0,,0.85,5.18,1.0443548387096773,,,,4.2,0.14,0.98,,4.96,31.18,16.64,,172.42,9.127580730545262,18.89,0.67,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-08-14,0.0,,0.5,14.85,47.90322580645161,,,,14.01,0.14,0.84,,0.31,27.95,17.18,,305.49,24.656174334140434,12.39,0.67,8.0
Arendal,CODE:VT5,8.816667,58.383332,1991-08-14,5.0,,0.67,2.38,0.7677419354838709,,,,1.54,0.7,0.84,,3.1,31.1,17.69,,171.02,13.145272867025366,13.01,0.15,8.0
Arendal,CODE:VT5,8.816667,58.383332,1991-08-14,10.0,,0.92,2.52,0.4516129032258064,,,,1.4,0.42,1.12,,5.58,32.44,16.39,,149.73,10.283653846153843,14.56,0.12,8.0
Arendal,CODE:VT5,8.816667,58.383332,1991-08-28,0.0,,0.48,9.66,3.462365591397849,,,,8.4,,1.26,,2.79,,16.72,,152.67,12.971112999150382,11.77,0.86,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-08-28,5.0,,3.5,6.16,1.2419354838709675,,,,5.04,,1.12,,4.96,,17.33,,146.93,13.554428044280444,10.84,0.85,
Arendal,CODE:VT5,8.816667,58.383332,1991-08-28,10.0,,8.78,4.76,0.8530465949820788,,,,2.8,,1.96,,5.58,,17.04,,157.86,13.774869109947645,11.46,1.05,
Arendal,CODE:VT5,8.816667,58.383332,1991-09-12,0.0,,0.66,10.08,3.2516129032258063,,,,8.4,0.14,1.68,,3.1,28.44,15.99,,257.02,17.28446536650975,14.87,0.58,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-09-12,5.0,,0.84,2.94,0.6774193548387097,,,,1.4,0.14,1.54,,4.34,29.13,16.38,,169.9,11.92280701754386,14.25,0.53,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-09-12,10.0,,2.52,3.08,1.6559139784946235,,,,1.4,0.14,1.68,,1.86,31.69,16.18,,171.58,11.538668459986551,14.87,0.64,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-07,0.0,,0.85,18.200000000000003,3.2616487455197136,,,,9.8,2.8,8.4,,5.58,32.36,13.69,,162.76,12.219219219219218,13.32,0.74,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-07,5.0,,0.86,17.64,3.161290322580645,,,,8.68,2.52,8.96,,5.58,32.69,13.73,,191.47,14.047688921496698,13.63,0.5,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-07,10.0,,0.77,17.36,3.294117647058824,,,,8.54,2.52,8.82,,5.27,32.81,13.73,,157.44,12.707021791767554,12.39,0.47,10.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-21,0.0,,1.07,33.89,4.378552971576228,,,,8.68,3.36,25.21,,7.74,27.89,11.59,,167.24,7.941120607787275,21.06,,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-21,5.0,,1.0,18.630000000000003,2.7356828193832605,,,,7.0,3.78,11.63,,6.81,28.04,11.89,,192.59,9.567312468951814,20.13,,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-21,10.0,,0.74,21.43,3.1468428781204114,,,,7.0,4.76,14.43,,6.81,28.28,11.93,,191.05,8.940102948058025,21.37,0.23,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-30,0.0,,1.77,39.78,6.426494345718901,,,,8.4,3.22,31.38,,6.19,28.3,10.5,,178.31,10.277233429394812,17.35,0.49,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-30,5.0,,1.28,22.27,3.426153846153846,,,,7.0,5.32,15.27,,6.5,28.3,10.51,,172.28,10.110328638497654,17.04,,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-10-30,10.0,,1.38,31.23,3.602076124567473,,,,5.6,8.54,25.63,,8.67,30.38,11.74,,183.49,10.57579250720461,17.35,0.35,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-11-18,0.0,,0.84,72.97,6.367364746945898,,,,8.68,6.16,64.29,,11.46,28.72,8.38,,260.66,11.688789237668162,22.3,0.52,8.5
Arendal,CODE:VT5,8.816667,58.383332,1991-11-18,5.0,,0.77,77.03999999999999,5.526542324246772,,,,11.21,6.86,65.83,,13.94,28.84,8.48,,207.16,9.693963500233972,21.37,,8.5
Arendal,CODE:VT5,8.816667,58.383332,1991-11-18,10.0,,0.79,72.55,4.77931488801054,,,,7.56,6.58,64.99,,15.18,28.89,8.52,,210.94,9.72970479704797,21.68,3.69,8.5
Arendal,CODE:VT5,8.816667,58.383332,1991-12-02,0.0,,1.2,70.18,4.356300434512725,,,,12.61,14.56,57.57,,16.11,30.44,7.72,,233.91,10.945718296677583,21.37,0.76,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-12-02,5.0,,1.57,67.93,4.474967061923584,,,,10.36,14.98,57.57,,15.18,30.53,7.71,,236.85,10.475453339230429,22.61,0.51,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-12-02,10.0,,1.61,70.46000000000001,4.291108404384897,,,,12.61,14.84,57.85,,16.42,30.58,7.72,,233.91,10.205497382198953,22.92,0.54,9.0
Arendal,CODE:VT5,8.816667,58.383332,1991-12-15,0.0,,0.28,17.049999999999997,0.8739108149666835,,,,11.2,2.24,5.85,,19.51,33.43,8.59,,212.48,9.270506108202442,22.92,,
Arendal,CODE:VT5,8.816667,58.383332,1991-12-15,5.0,,0.29,7.390000000000001,0.404488232074439,,,,1.4,2.1,5.99,,18.27,33.51,8.59,,192.31,8.390488656195462,22.92,,
Arendal,CODE:VT5,8.816667,58.383332,1991-12-15,10.0,,0.25,7.67,0.4420749279538905,,,,1.54,2.1,6.13,,17.35,33.65,8.63,,208.84,8.12290937378452,25.71,,
Arendal,CODE:VT5,8.816667,58.383332,1991-12-16,0.0,,0.28,93.15,4.774474628395694,,,,11.21,,81.94,,19.51,,8.59,,212.48,9.270506108202442,22.92,0.46,
Arendal,CODE:VT5,8.816667,58.383332,1991-12-16,5.0,,0.29,85.30000000000001,4.668856048166393,,,,1.4,,83.9,,18.27,,8.59,,192.31,8.390488656195462,22.92,0.58,
Arendal,CODE:VT5,8.816667,58.383332,1991-12-16,10.0,,0.25,87.4,5.0374639769452445,,,,1.54,,85.86,,17.35,,8.63,,208.84,8.12290937378452,25.71,1.11,
Arendal,CODE:VT5,8.816667,58.383332,1992-01-09,0.0,,0.52,,,,,,,3.08,7.62,,16.42,33.41,6.34,,,,,,
Arendal,CODE:VT5,8.816667,58.383332,1992-01-09,5.0,,0.49,,,,,,,3.22,7.6,,17.04,33.41,6.36,,,,,,
Arendal,CODE:VT5,8.816667,58.383332,1992-01-09,10.0,,0.41,,,,,,,2.24,6.96,,16.11,33.42,6.37,,,,,,
Arendal,CODE:VT5,8.816667,58.383332,1992-01-25,0.0,,0.31,126.06,6.167318982387475,,,,8.4,1.4,117.66,,20.44,32.69,5.62,,265.71,10.091530573490315,26.33,0.62,8.0
Arendal,CODE:VT5,8.816667,58.383332,1992-01-25,5.0,,0.3,120.88,5.739791073124406,,,,2.8,1.4,118.08,,21.06,33.16,5.74,,224.25,8.828740157480315,25.4,0.37,8.0
Arendal,CODE:VT5,8.816667,58.383332,1992-01-25,10.0,,0.26,121.58,5.773029439696106,,,,4.2,1.4,117.38,,21.06,33.45,5.8,,238.25,7.468652037617555,31.9,0.25,8.0
Arendal,CODE:VT5,8.816667,58.383332,1992-02-10,0.0,,0.68,125.78,6.153620352250489,,,,4.2,1.54,121.58,,20.44,31.31,4.92,,322.01,10.719374167776298,30.04,0.92,8.0
Arendal,CODE:VT5,8.816667,58.383332,1992-02-10,5.0,,0.52,123.54,5.866096866096867,,,,4.2,1.54,119.34,,21.06,31.33,4.93,,261.51,8.11890717168581,32.21,,8.0
Arendal,CODE:VT5,8.816667,58.383332,1992-02-10,10.0,,0.39,122.56,5.819563152896487,,,,2.8,1.26,119.76,,21.06,31.58,5.04,,260.8,8.096864327848495,32.21,0.45,8.0
Arendal,CODE:VT5,8.816667,58.383332,1992-02-24,0.0,,0.49,124.8,5.925925925925927,,,,4.2,2.24,120.6,,21.06,32.35,4.9,,253.66,8.998226321390563,28.19,0.52,10.0
Arendal,CODE:VT5,8.816667,58.383332,1992-02-24,5.0,,0.52,121.02,5.503410641200546,,,,2.8,2.1,118.22,,21.99,32.35,4.9,,232.65,8.733108108108109,26.64,0.31,10.0
Arendal,CODE:VT5,8.816667,58.383332,1992-02-24,10.0,,0.5,123.12,5.761347683668695,,,,4.2,2.1,118.92,,21.37,32.34,4.89,,233.35,8.862514242309153,26.33,0.18,10.0
Arendal,CODE:VT5,8.816667,58.383332,1992-03-09,0.0,,8.33,66.96000000000001,6.177121771217713,,,,12.61,0.7,54.35,,10.84,27.36,4.08,,286.3,10.502567865003668,27.26,0.9,9.0
Arendal,CODE:VT5,8.816667,58.383332,1992-03-09,5.0,,5.09,103.79,6.090962441314554,,,,5.6,1.68,98.19,,17.04,28.68,4.19,,225.93,8.38330241187384,26.95,0.69,9.0
Arendal,CODE:VT5,8.816667,58.383332,1992-03-09,10.0,,3.13,107.43,6.304577464788733,,,,8.4,1.82,99.03,,17.04,29.37,4.25,,244.56,8.581052631578947,28.5,0.86,9.0
