index	time	FA/RAMSES/DERIVED/RRS/CALIBRATED/SHIP_SHADDOW	FA/RAMSES/DERIVED/RRS/CALIBRATED/SUN_GLINT	FA/RAMSES/DERIVED/RRS/CALIBRATED/SUN_HEIGHT	longitude	latitude
0	2023-06-01 00:00:00				11.32327	56.232893
1	2023-06-01 00:00:25	1.0	1.0	-1.0		
2	2023-06-01 00:00:55	1.0	1.0	-1.0		
3	2023-06-01 00:01:00				11.318777	56.228675
4	2023-06-01 00:01:25	1.0	1.0	-1.0		
5	2023-06-01 00:01:55	1.0	1.0	-1.0		
6	2023-06-01 00:02:00				11.314173	56.22424
7	2023-06-01 00:02:25	1.0	1.0	-1.0		
8	2023-06-01 00:02:55	1.0	1.0	-1.0		
9	2023-06-01 00:03:00				11.30967	56.219868
10	2023-06-01 00:03:25	1.0	1.0	-1.0		
11	2023-06-01 00:03:55	1.0	1.0	-1.0		
12	2023-06-01 00:04:00				11.305235	56.21557
13	2023-06-01 00:04:25	1.0	1.0	-1.0		
14	2023-06-01 00:04:55	1.0	1.0	-1.0		
15	2023-06-01 00:05:00				11.300602	56.211055
16	2023-06-01 00:05:25	1.0	1.0	-1.0		
17	2023-06-01 00:05:55	1.0	1.0	-1.0		
18	2023-06-01 00:06:00				11.296033	56.20658
19	2023-06-01 00:06:25	1.0	1.0	-1.0		
20	2023-06-01 00:06:55	1.0	1.0	-1.0		
21	2023-06-01 00:07:00				11.291493	56.202133
22	2023-06-01 00:07:25	1.0	1.0	-1.0		
23	2023-06-01 00:07:55	1.0	1.0	-1.0		
24	2023-06-01 00:08:00				11.286815	56.197797
25	2023-06-01 00:08:25	1.0	1.0	-1.0		
26	2023-06-01 00:08:55	1.0	1.0	-1.0		
27	2023-06-01 00:09:00				11.281528	56.193727
28	2023-06-01 00:09:25	1.0	1.0	-1.0		
29	2023-06-01 00:09:55	1.0	1.0	-1.0		
30	2023-06-01 00:10:00				11.275705	56.189915
31	2023-06-01 00:10:25	1.0	1.0	-1.0		
32	2023-06-01 00:10:55	1.0	1.0	-1.0		
33	2023-06-01 00:11:00				11.269517	56.186457
34	2023-06-01 00:11:25	1.0	1.0	-1.0		
35	2023-06-01 00:11:55	1.0	1.0	-1.0		
36	2023-06-01 00:12:00				11.262962	56.182963
37	2023-06-01 00:12:25	1.0	1.0	-1.0		
